ID	SRR	BioSample	Dataset
1	ERR7929439	SAMEA12185346	AveRiv
2	ERR7929537	SAMEA12185346	AveRiv
3	ERR7929557	SAMEA12185347	AveRiv
4	ERR7929451	SAMEA12185347	AveRiv
5	ERR7929462	SAMEA12185348	AveRiv
6	ERR7929570	SAMEA12185348	AveRiv
7	ERR7929651	SAMEA12185349	AveRiv
8	ERR7929524	SAMEA12185349	AveRiv
9	ERR7929542	SAMEA12185350	AveRiv
10	ERR7929654	SAMEA12185350	AveRiv
11	ERR7929666	SAMEA12185351	AveRiv
12	ERR7929552	SAMEA12185351	AveRiv
13	ERR7929567	SAMEA12185352	AveRiv
14	ERR7929671	SAMEA12185352	AveRiv
15	SRR10955151	SAMN12795923	LakeMen
16	ERR9631049	SAMEA14109794	ResCRep
